reservation_id,guest_id,check_in,check_out,room_type,price_per_night,has_event,event_name,channel,status
R10000,G1000,2026-06-01,2026-06-03,اتاق سنتی,2500000,True,شب شعر,Website,completed
R10001,G1001,2026-06-02,2026-06-05,اتاق مدرن,3200000,False,,Booking.com,completed
R10002,G1002,2026-06-03,2026-06-04,سوئیت,4500000,True,کنسرت موسیقی,Instagram,completed
R10003,G1003,2026-06-05,2026-06-07,اتاق خانوادگی,3800000,False,,Phone,cancelled
R10004,G1004,2026-06-06,2026-06-08,اتاق سنتی,2300000,True,تحلیل فیلم,Website,completed
R10005,G1005,2026-06-07,2026-06-09,اتاق مدرن,3100000,False,,Booking.com,no-show
R10006,G1006,2026-06-08,2026-06-10,سوئیت,4700000,True,شب شعر,Instagram,completed
R10007,G1007,2026-06-09,2026-06-11,اتاق خانوادگی,3900000,False,,Website,cancelled
R10008,G1008,2026-06-10,2026-06-12,اتاق سنتی,2600000,True,کارگاه خوشنویسی,Phone,completed
R10009,G1009,2026-06-11,2026-06-14,اتاق مدرن,3400000,False,,Walk-in,completed
